# seconds.nanoseconds(sequence)	sine
1550489591.288678200(0)	0.000000
1550489591.289678200(1)	0.309017
1550489591.290678200(2)	0.587785
1550489591.291678200(3)	0.809017
1550489591.292678200(4)	0.951057
1550489591.293678200(5)	1.000000
1550489591.294678200(6)	0.951057
1550489591.295678200(7)	0.809017
1550489591.296678200(8)	0.587785
1550489591.297678200(9)	0.309017
1550489591.298678200(10)	0.000000
1550489591.299678200(11)	-0.309017
1550489591.300678200(12)	-0.587785
1550489591.301678200(13)	-0.809017
1550489591.302678200(14)	-0.951057
1550489591.303678200(15)	-1.000000
1550489591.304678200(16)	-0.951057
1550489591.305678200(17)	-0.809017
1550489591.306678200(18)	-0.587785
1550489591.307678200(19)	-0.309017
1550489591.308678200(20)	-0.000000
1550489591.309678200(21)	0.309017
1550489591.310678200(22)	0.587785
1550489591.311678200(23)	0.809017
1550489591.312678200(24)	0.951057
1550489591.313678200(25)	1.000000
1550489591.314678200(26)	0.951057
1550489591.315678200(27)	0.809017
1550489591.316678200(28)	0.587785
1550489591.317678200(29)	0.309017
1550489591.318678200(30)	-0.000000
1550489591.319678200(31)	-0.309017
1550489591.320678200(32)	-0.587785
1550489591.321678200(33)	-0.809017
1550489591.322678200(34)	-0.951057
1550489591.323678200(35)	-1.000000
1550489591.324678200(36)	-0.951057
1550489591.325678200(37)	-0.809017
1550489591.326678200(38)	-0.587785
1550489591.327678200(39)	-0.309017
1550489591.328678200(40)	-0.000000
1550489591.329678200(41)	0.309017
1550489591.330678200(42)	0.587785
1550489591.331678200(43)	0.809017
1550489591.332678200(44)	0.951057
1550489591.333678200(45)	1.000000
1550489591.334678200(46)	0.951057
1550489591.335678200(47)	0.809017
1550489591.336678200(48)	0.587785
1550489591.337678200(49)	0.309017
1550489591.338678200(50)	0.000000
1550489591.339678200(51)	-0.309017
1550489591.340678200(52)	-0.587785
1550489591.341678200(53)	-0.809017
1550489591.342678200(54)	-0.951057
1550489591.343678200(55)	-1.000000
1550489591.344678200(56)	-0.951057
1550489591.345678200(57)	-0.809017
1550489591.346678200(58)	-0.587785
1550489591.347678200(59)	-0.309017
1550489591.348678200(60)	0.000000
1550489591.349678200(61)	0.309017
1550489591.350678200(62)	0.587785
1550489591.351678200(63)	0.809017
1550489591.352678200(64)	0.951057
1550489591.353678200(65)	1.000000
1550489591.354678200(66)	0.951057
1550489591.355678200(67)	0.809017
1550489591.356678200(68)	0.587785
1550489591.357678200(69)	0.309017
1550489591.358678200(70)	-0.000000
1550489591.359678200(71)	-0.309017
1550489591.360678200(72)	-0.587785
1550489591.361678200(73)	-0.809017
1550489591.362678200(74)	-0.951057
1550489591.363678200(75)	-1.000000
1550489591.364678200(76)	-0.951057
1550489591.365678200(77)	-0.809017
1550489591.366678200(78)	-0.587785
1550489591.367678200(79)	-0.309017
1550489591.368678200(80)	-0.000000
1550489591.369678200(81)	0.309017
1550489591.370678200(82)	0.587785
1550489591.371678200(83)	0.809017
1550489591.372678200(84)	0.951057
1550489591.373678200(85)	1.000000
1550489591.374678200(86)	0.951057
1550489591.375678200(87)	0.809017
1550489591.376678200(88)	0.587785
1550489591.377678200(89)	0.309017
1550489591.378678200(90)	-0.000000
1550489591.379678200(91)	-0.309017
1550489591.380678200(92)	-0.587785
1550489591.381678200(93)	-0.809017
1550489591.382678200(94)	-0.951057
1550489591.383678200(95)	-1.000000
1550489591.384678200(96)	-0.951057
1550489591.385678200(97)	-0.809017
1550489591.386678200(98)	-0.587785
1550489591.387678200(99)	-0.309017
1550489591.388678200(100)	-0.000000
1550489591.389678200(101)	0.309017
1550489591.390678200(102)	0.587785
1550489591.391678200(103)	0.809017
1550489591.392678200(104)	0.951057
1550489591.393678200(105)	1.000000
1550489591.394678200(106)	0.951057
1550489591.395678200(107)	0.809017
1550489591.396678200(108)	0.587785
1550489591.397678200(109)	0.309017
1550489591.398678200(110)	0.000000
1550489591.399678200(111)	-0.309017
1550489591.400678200(112)	-0.587785
1550489591.401678200(113)	-0.809017
1550489591.402678200(114)	-0.951057
1550489591.403678200(115)	-1.000000
1550489591.404678200(116)	-0.951057
1550489591.405678200(117)	-0.809017
1550489591.406678200(118)	-0.587785
1550489591.407678200(119)	-0.309017
1550489591.408678200(120)	0.000000
1550489591.409678200(121)	0.309017
1550489591.410678200(122)	0.587785
1550489591.411678200(123)	0.809017
1550489591.412678200(124)	0.951057
1550489591.413678200(125)	1.000000
1550489591.414678200(126)	0.951057
1550489591.415678200(127)	0.809017
1550489591.416678200(128)	0.587785
1550489591.417678200(129)	0.309017
1550489591.418678200(130)	-0.000000
1550489591.419678200(131)	-0.309017
1550489591.420678200(132)	-0.587785
1550489591.421678200(133)	-0.809017
1550489591.422678200(134)	-0.951057
1550489591.423678200(135)	-1.000000
1550489591.424678200(136)	-0.951057
1550489591.425678200(137)	-0.809017
1550489591.426678200(138)	-0.587785
1550489591.427678200(139)	-0.309017
1550489591.428678200(140)	0.000000
1550489591.429678200(141)	0.309017
1550489591.430678200(142)	0.587785
1550489591.431678200(143)	0.809017
1550489591.432678200(144)	0.951057
1550489591.433678200(145)	1.000000
1550489591.434678200(146)	0.951057
1550489591.435678200(147)	0.809017
1550489591.436678200(148)	0.587785
1550489591.437678200(149)	0.309017
1550489591.438678200(150)	-0.000000
1550489591.439678200(151)	-0.309017
1550489591.440678200(152)	-0.587785
1550489591.441678200(153)	-0.809017
1550489591.442678200(154)	-0.951057
1550489591.443678200(155)	-1.000000
1550489591.444678200(156)	-0.951057
1550489591.445678200(157)	-0.809017
1550489591.446678200(158)	-0.587785
1550489591.447678200(159)	-0.309017
1550489591.448678200(160)	-0.000000
1550489591.449678200(161)	0.309017
1550489591.450678200(162)	0.587785
1550489591.451678200(163)	0.809017
1550489591.452678200(164)	0.951057
1550489591.453678200(165)	1.000000
1550489591.454678200(166)	0.951057
1550489591.455678200(167)	0.809017
1550489591.456678200(168)	0.587785
1550489591.457678200(169)	0.309017
1550489591.458678200(170)	-0.000000
1550489591.459678200(171)	-0.309017
1550489591.460678200(172)	-0.587785
1550489591.461678200(173)	-0.809017
1550489591.462678200(174)	-0.951057
1550489591.463678200(175)	-1.000000
1550489591.464678200(176)	-0.951057
1550489591.465678200(177)	-0.809017
1550489591.466678200(178)	-0.587785
1550489591.467678200(179)	-0.309017
1550489591.468678200(180)	0.000000
1550489591.469678200(181)	0.309017
1550489591.470678200(182)	0.587785
1550489591.471678200(183)	0.809017
1550489591.472678200(184)	0.951057
1550489591.473678200(185)	1.000000
1550489591.474678200(186)	0.951057
1550489591.475678200(187)	0.809017
1550489591.476678200(188)	0.587785
1550489591.477678200(189)	0.309017
1550489591.478678200(190)	0.000000
1550489591.479678200(191)	-0.309017
1550489591.480678200(192)	-0.587785
1550489591.481678200(193)	-0.809017
1550489591.482678200(194)	-0.951057
1550489591.483678200(195)	-1.000000
1550489591.484678200(196)	-0.951057
1550489591.485678200(197)	-0.809017
1550489591.486678200(198)	-0.587785
1550489591.487678200(199)	-0.309017
1550489591.488678200(200)	-0.000000
1550489591.489678200(201)	0.309017
1550489591.490678200(202)	0.587785
1550489591.491678200(203)	0.809017
1550489591.492678200(204)	0.951057
1550489591.493678200(205)	1.000000
1550489591.494678200(206)	0.951057
1550489591.495678200(207)	0.809017
1550489591.496678200(208)	0.587785
1550489591.497678200(209)	0.309017
1550489591.498678200(210)	-0.000000
1550489591.499678200(211)	-0.309017
1550489591.500678200(212)	-0.587785
1550489591.501678200(213)	-0.809017
1550489591.502678200(214)	-0.951057
1550489591.503678200(215)	-1.000000
1550489591.504678200(216)	-0.951057
1550489591.505678200(217)	-0.809017
1550489591.506678200(218)	-0.587785
1550489591.507678200(219)	-0.309017
1550489591.508678200(220)	-0.000000
1550489591.509678200(221)	0.309017
1550489591.510678200(222)	0.587785
1550489591.511678200(223)	0.809017
1550489591.512678200(224)	0.951057
1550489591.513678200(225)	1.000000
1550489591.514678200(226)	0.951057
1550489591.515678200(227)	0.809017
1550489591.516678200(228)	0.587785
1550489591.517678200(229)	0.309017
1550489591.518678200(230)	0.000000
1550489591.519678200(231)	-0.309017
1550489591.520678200(232)	-0.587785
1550489591.521678200(233)	-0.809017
1550489591.522678200(234)	-0.951057
1550489591.523678200(235)	-1.000000
1550489591.524678200(236)	-0.951057
1550489591.525678200(237)	-0.809017
1550489591.526678200(238)	-0.587785
1550489591.527678200(239)	-0.309017
1550489591.528678200(240)	0.000000
1550489591.529678200(241)	0.309017
1550489591.530678200(242)	0.587785
1550489591.531678200(243)	0.809017
1550489591.532678200(244)	0.951057
1550489591.533678200(245)	1.000000
1550489591.534678200(246)	0.951057
1550489591.535678200(247)	0.809017
1550489591.536678200(248)	0.587785
1550489591.537678200(249)	0.309017
1550489591.538678200(250)	-0.000000
1550489591.539678200(251)	-0.309017
1550489591.540678200(252)	-0.587785
1550489591.541678200(253)	-0.809017
1550489591.542678200(254)	-0.951057
1550489591.543678200(255)	-1.000000
1550489591.544678200(256)	-0.951057
1550489591.545678200(257)	-0.809017
1550489591.546678200(258)	-0.587785
1550489591.547678200(259)	-0.309017
1550489591.548678200(260)	0.000000
1550489591.549678200(261)	0.309017
1550489591.550678200(262)	0.587785
1550489591.551678200(263)	0.809017
1550489591.552678200(264)	0.951057
1550489591.553678200(265)	1.000000
1550489591.554678200(266)	0.951057
1550489591.555678200(267)	0.809017
1550489591.556678200(268)	0.587785
1550489591.557678200(269)	0.309017
1550489591.558678200(270)	0.000000
1550489591.559678200(271)	-0.309017
1550489591.560678200(272)	-0.587785
1550489591.561678200(273)	-0.809017
1550489591.562678200(274)	-0.951057
1550489591.563678200(275)	-1.000000
1550489591.564678200(276)	-0.951057
